sample	color	PC1	PC2	PC3
PI601405	1	4.3762146184	-4.5588707207	7.3761253661
PI601417	1	-27.2827240898	1.7269828862	-5.2908825086
PI601430	1	0.9292632437	0.267578469	6.52E-005
PI601438	1	5.1277414277	0.4250511893	0.883247236
PI601439	1	-10.1688831949	1.928641085	2.1671202191
PI601440	1	5.9291088385	2.4279895934	2.9224044394
PI601441	1	-31.6851237323	3.3303973821	-10.2258259544
PI601442	1	-25.1464026732	0.8453826443	-1.0344241568
PI601457	1	4.1538358348	-3.3830178729	4.2345024409
PI601458	1	0.883165675	-6.7853953133	9.1824190635
PI601459	1	2.086556148	-6.7999089173	12.5104569245
PI601466	1	4.4303389296	-0.6007376116	1.2330282434
PI601467	1	4.8087908275	0.3186914308	-0.0746467692
PI601468	1	-29.9177061347	4.568157212	1.5324577825
PI601490	1	4.7535565165	-3.2172226514	9.5620200232
PI601491	1	-25.2672642357	5.5945852425	-2.1159535851
PI601492	1	-20.911784799	3.7455329413	4.9732181051
PI601493	1	-21.2521614063	4.5225173945	-7.4771381817
PI601494	1	6.9698528599	-1.3344924275	3.7124014637
PI601495	1	2.8393068211	-6.3405383048	9.7818939666
PI601497	1	2.0690649894	-5.8036131063	9.7310291138
PI601498	1	-18.1315175443	-3.2569083179	1.168698746
PI601499	1	2.740940679	-3.5212643809	7.5798031268
PI601500	0	-15.845499117	0.5452068151	5.7992648515
PI601501	1	4.3859587075	-4.4658600027	12.4555192037
PI601502	1	-29.7018625904	4.7770201492	-1.6942325551
PI601559	1	-25.1887156742	1.5992483265	-10.1670420434
PI601560	1	2.1746383032	-3.5062479338	0.2174486426
PI601561	1	5.501636724	1.1341666283	-0.0639019972
PI601562	1	6.4549567826	-0.3587602791	1.2179200058
PI601563	0	-23.8708722684	1.3549775475	-6.7323919262
PI601564	1	-5.9408512006	0.8927806653	1.7775992906
PI601565	1	2.1461026295	-7.8411662449	12.0337068186
PI601567	1	2.4046360645	-5.3038526241	9.1826605406
PI601570	1	2.3854670736	-6.7530353751	13.2089228921
PI601571	1	2.018878344	-0.302747276	7.3529321838
PI601572	1	-10.0432547545	0.1580856456	10.0134983316
